@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
22,18,139,403,3,4,10000,144141714197,4344,171498,0,0,3,1067
22,18,149,40312,3,4,10000,244141614207,3343,171578,0,0,4,1066
22,18,139,403,4,4,10000,253141514207,1443,151579,0,0,4,1065
22,18,149,40312,3,4,10000,154141514197,4344,171567,0,0,4,1064
22,18,148,0312,2,4,10000,145141414207,2343,171567,0,0,2,1063
22,18,158,4012,3,4,10000,244141414197,3444,171775,0,0,2,1062
22,18,159,4012,1,4,10000,343141514197,3434,171756,0,0,4,1061
22,18,1510,40312,1,4,10000,343131514197,3234,181547,0,0,2,1060
22,18,1410,032,4,4,10000,343121514198,3231,171357,0,0,3,1059
22,18,149,40312,2,4,10000,353131414199,1141,151555,0,0,1,1058
22,18,1410,032,1,4,10000,453141415199,3111,151556,0,0,0,1057
22,18,1410,032,1,4,10000,453141315198,3142,151567,0,0,2,1056
22,18,149,40312,2,4,10000,353131316199,4211,151585,0,0,3,1055
22,18,159,4012,3,4,10000,252131315189,4424,171783,0,0,2,1054
22,18,1510,40312,1,4,10000,351131316179,3414,171783,0,0,1,1053
22,18,1610,403,3,4,10000,451141216189,3143,1719103,0,0,3,1052
22,18,1610,403,3,4,10000,551141216189,3143,1619103,0,0,4,1051
22,18,1710,4032,3,4,10000,5511413161810,3131,1720101,0,0,3,1050
22,18,1810,4012,3,4,10000,451151416189,4132,1922101,0,0,4,1049
22,18,1811,012,1,4,10000,451141516179,4234,202083,0,0,2,1048
22,18,1810,4012,2,4,10000,4511415161710,4231,192191,0,0,1,1047
22,18,1710,4032,4,4,10000,5511516161610,3134,172171,0,0,4,1246
22,18,1610,403,4,4,10001,6511417161610,3230,151970,0,0,3,1245
22,18,1710,4032,3,4,10001,75113171671,3230,151960,0,0,0,1244
22,18,1810,4012,3,4,10001,74213171671,2330,171970,0,0,1,1243
22,18,1710,4032,4,4,10001,73113171671,2430,171960,0,0,0,1242
22,18,1810,4012,3,4,10001,74213181671,1330,171960,0,0,1,1241
22,18,1710,4032,4,4,10001,73113191671,2430,171980,0,0,4,1240
22,18,1810,4012,3,4,10001,73113191671,2430,182070,0,0,0,1239
22,18,1811,012,1,4,10001,63112181671,4240,201850,0,0,0,1238
22,18,1811,012,1,4,10001,73111181671,3240,191750,0,0,1,1237
22,18,1811,012,1,4,10001,83111191671,3230,181760,0,0,1,1236
22,18,1811,012,1,4,10001,73112181671,4140,191850,0,0,0,1235
22,18,1811,012,1,4,10001,74113181671,1140,181950,0,0,2,1234
22,18,1812,012,1,4,10001,73113191671,2130,201850,0,0,0,1233
22,18,1812,012,1,4,10001,63114201671,4130,211960,0,0,2,1232
22,18,1812,012,1,4,10001,63115191671,4140,212050,0,0,2,1231
22,18,1812,012,1,4,10001,73116201671,3130,202160,0,0,2,1230
22,18,1813,0312,1,4,10001,63216191671,4340,221940,0,0,3,1229
22,18,1913,403,3,4,10001,53316191671,4340,241930,0,0,0,1228
22,18,2013,4012,3,4,10001,53216181671,4440,252150,0,0,4,1227
22,18,2014,012,1,4,10001,63116181671,3440,252140,0,0,1,1226
22,18,2015,012,1,4,10001,63115191671,3230,261920,0,0,1,1425
22,18,2016,402,1,4,10011,53116201671,4100,281900,0,0,0,1424
22,18,2016,402,1,4,10011,531165171,4100,281900,0,0,0,1423
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
16,5,33,403,4,4,10000,123141142,0000,30012,2,3,4,-2
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,0,-3
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-4
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-5
16,5,33,403,3,4,10000,123141142,0000,30012,2,3,0,-6
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,0,-7
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,3,-8
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-9
16,5,33,403,3,4,10000,123141142,0000,30012,2,3,0,-10
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,0,-11
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,3,-12
16,5,33,403,3,4,10000,123141142,0000,30012,2,3,0,-13
16,5,33,403,3,4,10000,123141142,0000,30012,2,3,3,-14
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-15
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-16
16,5,33,403,3,4,10000,123141142,0000,30012,2,3,4,-17
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-18
16,5,13,032,4,4,10000,123141142,0000,10014,2,2,2,-19
16,5,23,403,3,4,10000,123141142,0000,20013,2,2,0,-20
16,5,13,032,4,4,10000,123141142,0000,10014,2,2,3,-21
16,5,23,403,3,4,10000,123141142,0000,20013,2,2,0,-22
16,5,23,403,3,4,10000,123141142,0000,20013,2,2,0,-23
16,5,23,403,3,4,10000,123141142,0000,20013,2,2,0,-24
16,5,23,403,3,4,10000,123141142,0000,20013,2,2,0,-25
16,5,13,032,4,4,10000,123141142,0000,10014,2,2,2,174
16,5,12,012,2,4,11000,123141142,0000,00013,2,1,2,173
16,5,13,032,1,4,11000,113141142,0000,00014,2,2,2,172
16,5,12,012,2,4,11000,113141142,0000,00013,2,1,1,171
16,5,13,032,1,4,11000,113141142,0000,00014,2,2,3,170
16,5,12,012,2,4,11000,113141142,0000,00013,2,1,2,469
16,5,11,031,2,4,11000,113141142,0000,00014,1,1,1,668
16,5,12,012,1,4,11000,113141142,0000,00013,1,2,2,667
16,5,13,032,1,4,11000,113141142,0000,00014,1,3,2,666
16,5,23,403,3,4,11000,113141142,0000,00013,1,2,0,665
16,5,13,032,4,4,11000,113141142,0000,00014,1,3,3,664
16,5,12,012,2,4,11000,113141142,0000,00013,1,2,1,863
16,5,11,031,2,4,11000,113141142,0000,00014,1,1,1,1062
16,5,12,012,1,4,11000,113141142,0000,00013,1,2,1,1261
16,5,11,031,2,4,11000,113141142,0000,00014,1,1,3,1560
16,5,21,403,3,4,11000,113141142,0000,00013,0,0,3,1759
16,5,11,031,4,4,11000,113141142,0000,00014,0,0,1,1958
16,5,21,403,3,4,11000,113141142,0000,00013,0,0,4,2157
16,5,31,403,3,4,11100,113141142,0000,00012,0,0,3,2556
16,5,41,403,3,4,11110,113141142,0000,00011,0,0,3,2755
16,5,51,403,3,4,11110,113151142,0000,00010,0,0,4,2954
16,5,61,403,3,4,11110,113151142,0000,0009,0,0,4,2953
16,5,71,403,3,4,11110,113151142,0000,0008,0,0,3,2952
16,5,81,403,3,4,11110,113151142,0000,0007,0,0,3,2951
